Nombre,Precio,CantidadEnStock
Producto 1,14,03,50
Producto 2,81,47,64
Producto 3,72,86,78
Producto 4,77,87,71
Producto 5,39,7,15
Producto 6,43,94,81
Producto 7,45,61,17
Producto 8,64,16,53
Producto 9,83,75,63
Producto 10,14,68,70
Producto 11,78,21,54
Producto 12,32,04,28
Producto 13,86,17
Producto 14,66,09,12
Producto 15,14,16,29
Producto 16,24,06,76
Producto 17,82,73,53
Producto 18,31,77,22
Producto 19,48,89,5
Producto 20,82,11,69
Producto 21,40,57,58
Producto 22,57,57,96
Producto 23,45,93,43
Producto 24,93,41,90
Producto 25,45,76,92
Producto 26,50,43,15
Producto 27,35,71,77
Producto 28,27,93,72
Producto 29,19,17,24
Producto 30,12,52,62
Producto 31,72,53,92
Producto 32,97,53,43
Producto 33,32,78,85
Producto 34,11,72,36
Producto 35,61,75,71
Producto 36,18,65,54
Producto 37,80,26,3
Producto 38,59,83,86
Producto 39,14,55,1
Producto 40,95,38,43
Producto 41,16,76,28
Producto 42,36,67,37
Producto 43,10,71,94
Producto 44,18,58,86
Producto 45,71,84,15
Producto 46,84,5,87
Producto 47,64,28,91
Producto 48,76,28,66
Producto 49,42,19,34
Producto 50,45,51,20
Producto 51,93,06,82
Producto 52,32,45,16
Producto 53,56,96,32
Producto 54,67,62,91
Producto 55,80,34,69
Producto 56,71,36
Producto 57,89,77,33
Producto 58,11,42,24
Producto 59,51,86,51
Producto 60,40,28,84
Producto 61,24,67,92
Producto 62,56,46,91
Producto 63,69,86,16
Producto 64,13,01,9
Producto 65,16,74,48
Producto 66,81,86,30
Producto 67,20,25,52
Producto 68,62,88,33
Producto 69,83,04,26
Producto 70,28,52,8
Producto 71,77,93,15
Producto 72,98,53,23
Producto 73,98,99,67
Producto 74,87,07,1
Producto 75,81,81,55
Producto 76,26,8,46
Producto 77,22,24,46
Producto 78,95,87,48
Producto 79,94,85,20
Producto 80,10,03,57
Producto 81,25,89,30
Producto 82,63,54,68
Producto 83,11,79,44
Producto 84,49,69,1
Producto 85,63,29,63
Producto 86,49,44,66
Producto 87,52,84,5
Producto 88,38,32,59
Producto 89,28,96,96
Producto 90,23,13,43
Producto 91,73,9,90
Producto 92,13,8,24
Producto 93,64,39,66
Producto 94,16,38,93
Producto 95,88,76,97
